title;phones;city;address;instagram;whatsapp;e-mails;url
PALMA;+7‒707‒258‒03‒66,+7‒775‒771‒88‒86;almaty;проспект Рыскулова, 103/4;https://www.instagram.com/palma.damhana/;https://api.whatsapp.com/send/?phone=77072580366&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;www.palma1.kz,palma1.kz@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001041266678/76.869944%2C43.26688
БАДЬЯН;+7‒701‒016‒21‒11;almaty;проспект Абылай хана, 46;https://www.instagram.com/badyankz/;https://api.whatsapp.com/send/?phone=77010162111&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;badyankz@inbox.ru,badyankz@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001036681428/76.94056%2C43.264074
HOGO ХОГО;+7‒707‒382‒78‒17,+7‒707‒988‒87‒16;almaty;улица Спортивная, 3;;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001046339155/76.841868%2C43.200823
WUQQA LOUNGE;+7‒777‒848‒84‒48;almaty;улица Толе би, 65;https://www.instagram.com/wuqqa_lounge/;https://api.whatsapp.com/send/?phone=77778488448&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;wuqqa@bk.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001065275708/76.939263%2C43.254761
LIFE GRILL CAFE;+7 (727) 390‒12‒12,+7‒777‒867‒22‒33;almaty;улица Жазылбека, 20/2;https://www.instagram.com/life_grill_cafe/;https://api.whatsapp.com/send/?phone=77778672233&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;lyansvetlana@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001047201716/76.867057%2C43.202775
ЧАЧАПУРИ;+7 (727) 327‒57‒75,+7‒700‒555‒58‒31;almaty;улица Кастеева, 15;https://www.instagram.com/chachapuri_almaty/;https://api.whatsapp.com/send/?phone=77005555831&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;titobrasko@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001032291570/76.967764%2C43.254604
МАМА GIVI;+7‒747‒214‒88‒88;almaty;улица Яблочная, 19;https://www.instagram.com/mama_givi_almaty/;https://api.whatsapp.com/send/?phone=77472148888&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;gulnarau@yandex.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001057553832/76.971127%2C43.248829
ТАВЕРНА НА УГЛЯХ;+7‒771‒593‒48‒84,+7‒747‒769‒38‒38;almaty;улица Розыбакиева, 109;https://www.instagram.com/tavernauglyah/;https://api.whatsapp.com/send/?phone=77715934884&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;tvn2018@inbox.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001032307976/76.890754%2C43.229533
ДАДИАНИ;+7‒771‒487‒13‒13,+7‒771‒333‒38‒11;almaty;улица Кабанбай батыра, 37;https://www.instagram.com/dadiani_almaty/;https://api.whatsapp.com/send/?phone=77714871313&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;gulnarau@yandex.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001030286103/76.963332%2C43.251245
ЛЕТНИЙ ДВОРИК;+7‒747‒391‒01‒97,+7‒747‒331‒34‒51;almaty;улица Розыбакиева, 31/1Б;https://www.instagram.com/letniydvorik.kz/;https://api.whatsapp.com/send/?phone=77473313454&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;lyansvetlana@mail.ru;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001033632023/76.888956%2C43.242285
КУЛЬДЖА ХОГО;+7‒700‒785‒00‒55,+7‒708‒904‒55‒55;almaty;улица Гоголя, 8;https://www.instagram.com/kuldja_hogo_almaty/;https://api.whatsapp.com/send/?phone=77007850055&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001055863386/76.962785%2C43.261029
УРУМЧИ ХОГО;+7‒747‒883‒43‒98;almaty;улица Розыбакиева, 234;https://www.instagram.com/urumchi.hogo.almaty/;https://api.whatsapp.com/send/?phone=77478834398&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001062569479/76.892456%2C43.220787
TOMYUMBAR;+7‒707‒001‒50‒50;almaty;проспект Сейфуллина, 498;;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001058785497/76.933414%2C43.251769
ЭХО;+7‒778‒479‒30‒30;almaty;улица Наурызбай батыра, 85;;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001053091278/76.93673%2C43.248943
КУЛЬДЖА ХОГО;+7‒700‒500‒50‒08;almaty;улица Розыбакиева, 33Б;https://www.instagram.com/kuldja_hogo.kz/;https://api.whatsapp.com/send/?phone=77005005008&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001056395205/76.889131%2C43.241375
MYATA LOUNGE;+7‒701‒777‒17‒52;almaty;улица Ауэзова, 14а;https://www.instagram.com/myata_vyshka/;;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/page/2/firm/70000001041444514/76.902611%2C43.253558
