title;phones;city;address;instagram;whatsapp;e-mails;url
RICCHEZZA;+7‒707‒814‒96‒01;taraz;улица Толе би, 67/3;https://www.instagram.com/chicken_08_taraz/;;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001051576222/71.363882%2C42.90026
KATANA;+7‒700‒350‒51‒58;taraz;улица Казыбек би, 25а;https://www.instagram.com/sushi_katana_taraz/;;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001063417865/71.387276%2C42.894765
CHALET;+7‒776‒654‒04‒08;taraz;проспект Жамбыла, 196Б;https://www.instagram.com/chalettaraz/;https://api.whatsapp.com/send/?phone=77766540408&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;chalet.kz@mail.ru;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001051467111/71.359773%2C42.895196
TOK POKI;+7‒707‒447‒00‒01;taraz;улица Толе би, 63/1;https://www.instagram.com/tokpoki.kz/;https://api.whatsapp.com/send/?phone=77074470001&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001062862323/71.367599%2C42.900034
CHICKEN KING;+7‒707‒34‒44‒999,+7‒775‒44‒44‒999;taraz;улица Ташкентская, 98;https://www.instagram.com/chicken_king_taraz/;https://api.whatsapp.com/send/?phone=77073444999&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001053560899/71.379695%2C42.889572
ALTYN SAQA;+7‒707‒976‒75‒70,+7‒705‒155‒34‒37;taraz;микрорайон Самал, 39а;;;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001051872148/71.338652%2C42.882764
КАУСАР НА КОМРАТОВА;+7‒775‒855‒58‒85;taraz;улица Комратова, 69;https://www.instagram.com/kausar.na.komratova/;https://api.whatsapp.com/send/?phone=77758555885&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001057714732/71.366077%2C42.882811
MUSETTI;+7 (7262) 45‒44‒44,+7‒700‒760‒50‒96;taraz;улица Айтеке би, 9;https://www.instagram.com/musetti_taraz/;https://api.whatsapp.com/send/?phone=77007605096&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/taraz/search/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/firm/70000001051251741/71.37152%2C42.895301
PALMA;+7‒707‒258‒03‒66,+7‒775‒771‒88‒86;almaty;проспект Рыскулова, 103/4;https://www.instagram.com/palma.damhana/;https://api.whatsapp.com/send/?phone=77072580366&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;www.palma1.kz,palma1.kz@gmail.com;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001041266678/76.869944%2C43.26688
HOGO ХОГО;+7‒707‒382‒78‒17,+7‒707‒988‒87‒16;almaty;улица Спортивная, 3;https://www.instagram.com/hogo.centr/;https://api.whatsapp.com/send/?phone=77079888716&text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%21%0A%0A%D0%9F%D0%B8%D1%88%D1%83+%D0%B8%D0%B7+%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+2%D0%93%D0%98%D0%A1.%0A%0A&type=phone_number&app_absent=0;;https://2gis.kz/almaty/search/%D0%BA%D0%B0%D1%84%D0%B5/firm/70000001046339155/76.841868%2C43.200823
